long_name,value_eur,club_name
Christiaan Ravych,1800000.0,Cercle Brugge
Aziz Outtara Mohammed,1800000.0,Genk
Youssouph Mamadou Badji,1900000.0,Sporting Charleroi
Moussa N'Diaye,1800000.0,Anderlecht
Nikola Štulić,1900000.0,Sporting Charleroi
Abdul Manaf Nurudeen,1600000.0,AS Eupen
Abu Francis,1700000.0,Cercle Brugge
Edgaras Utkus,1600000.0,Cercle Brugge
Muhammed Gümüşkaya,1700000.0,Westerlo
Daam Wonnebald Foulon,1400000.0,Mechelen
Théo Leoni,1300000.0,Anderlecht
Jan Gorenc,1200000.0,AS Eupen
Ahmed Nadir Benbouali,1400000.0,Sporting Charleroi
Raz Shlomo,1200000.0,OH Leuven
Eric Junior Bocat,1200000.0,Sint-Truiden
Kayque Luiz Pereira,1300000.0,RWDM
Nick Gillekens,775000.0,Westerlo
Pietro Perdichizzi,800000.0,Westerlo
Lucas Frédéric Pirard,675000.0,Kortrijk
Florian Yves Le Joncour,800000.0,RWDM
Guillaume François,450000.0,Union Saint-Gilloise
Yannick Thoelen,425000.0,Mechelen
Edisson Jordanov,725000.0,Westerlo
David Boris Philippe Henen,900000.0,Kortrijk
William Klaus,725000.0,RWDM
Malick Martin Fofana,1800000.0,Gent
Cihan Çanak,1800000.0,Standard Liège
Félix Lemaréchal,1800000.0,Cercle Brugge
Romaine Mundle,1900000.0,Standard Liège
Alan Steve Minda García,1700000.0,Cercle Brugge
Soumaila Coulibaly,1600000.0,Antwerp
Emin Bayram,1600000.0,Westerlo
Tobe Leysen,1400000.0,OH Leuven
Dylan Mbayo,1600000.0,Kortrijk
Isaac Nuhu,1600000.0,AS Eupen
Zeno Van Den Bosch,1400000.0,Antwerp
Nilson David Angulo Ramírez,1600000.0,Anderlecht
Senne Lammens,1400000.0,Antwerp
Nayel Mehssatou Sepúlveda,1500000.0,Kortrijk
Nathaniel Opoku,1600000.0,OH Leuven
Jannes Van Hecke,1500000.0,Mechelen
Zakaria El Ouahdi,1600000.0,Genk
Jonatan Braut-Brunes,1600000.0,OH Leuven
Gary Magnée,1300000.0,AS Eupen
Yonas Malede,1400000.0,Mechelen
Jérôme Déom,1100000.0,AS Eupen
Henok Teklab,1100000.0,Union Saint-Gilloise
Thibault Vlietinck,875000.0,OH Leuven
Oluwaseyi Babajide Ojo,850000.0,Kortrijk
Aleksandr Filin,675000.0,AS Eupen
Junior Marsoni Sambu Mansoni,750000.0,RWDM
Davino Verhulst,80000.0,Antwerp
Sébastien Bruzzese,120000.0,Cercle Brugge
Jason Davidson,500000.0,AS Eupen
Koen Van Langendonck,120000.0,Westerlo
Martin Regáli,700000.0,Kortrijk
Chemsdine Talbi,1500000.0,Club Brugge
Kyriani Sabbe,1400000.0,Club Brugge
Lucas Stassin,1500000.0,Westerlo
Romeo Vermant,1500000.0,Club Brugge
Pierre Dwomoh,1400000.0,RWDM
Matte Smets,1300000.0,Sint-Truiden
Florent da Silva,1400000.0,RWDM
Rune Paeshuyse,1400000.0,AS Eupen
Pathé Mboup,1400000.0,RWDM
Casper Terho,1300000.0,Union Saint-Gilloise
Kazeem Olaigbe,1300000.0,Cercle Brugge
Nick Shinton,1100000.0,Club Brugge
Matthew Alexander Sorinola,1300000.0,Union Saint-Gilloise
Archie Brown,1300000.0,Gent
Nachon Nsingi,1300000.0,OH Leuven
本間 至恩,1300000.0,Club Brugge
Rafik Belghali,1300000.0,Mechelen
Toon Raemaekers,1200000.0,Mechelen
Yentl Van Genechten,1300000.0,AS Eupen
Lucas Jozef Lissens,1100000.0,Anderlecht
Valentine James Ozornwafor,800000.0,Sporting Charleroi
Jo Coppens,300000.0,Sint-Truiden
Lynnt Audoor,1200000.0,Kortrijk
Isaac Price,1200000.0,Standard Liège
Noah Sadiki,1200000.0,Union Saint-Gilloise
Martin Wasinski,1100000.0,Kortrijk
Maxime Delanghe,1000000.0,Cercle Brugge
Ibe Hautekiet,1000000.0,Standard Liège
山本 理仁,1000000.0,Sint-Truiden
Isaak Davies,1100000.0,Kortrijk
Dion De Neve,1100000.0,Kortrijk
Brandon Baiye,1000000.0,AS Eupen
Ryan Alebiousu,925000.0,Kortrijk
Fatih Kaya,775000.0,Sint-Truiden
Jan Král,700000.0,AS Eupen
João Pedro Eira Antunes da Silva,700000.0,Kortrijk
Erdon Daci,725000.0,Westerlo
Elton Daniël Kabangu,650000.0,Union Saint-Gilloise
Ngal'ayel Mukau,950000.0,Mechelen
Lucas Noubi Ngnokam,950000.0,Standard Liège
Fedde Leysen,875000.0,Union Saint-Gilloise
Jarne Steuckers,975000.0,Sint-Truiden
Tuur Rommens,925000.0,Westerlo
Nathan Ngoy,900000.0,Standard Liège
Ezechiel Banzuzi,925000.0,OH Leuven
鈴木 彩艶,850000.0,Sint-Truiden
Teddy Alloh,950000.0,AS Eupen
Garissone Innocent,775000.0,AS Eupen
Rein Van Helden,825000.0,Sint-Truiden
Joselpho Barnes,900000.0,Sint-Truiden
伊藤 涼太郎,550000.0,Sint-Truiden
Isaac David Christie-Davies,550000.0,AS Eupen
Norman Bassette,1000000.0,Mechelen
George Ilenikhena,900000.0,Antwerp
Mathias Delorge-Knieper,750000.0,Sint-Truiden
Mehdi Boukamir,725000.0,Sporting Charleroi
Richie Sagrado Sebastiao,750000.0,OH Leuven
Alexandro Calut,675000.0,OH Leuven
Rikelmi Valentim dos Santos,725000.0,RWDM
Theo Gécé,625000.0,RWDM
Romildo Del Piage de Souza,650000.0,RWDM
